id,HATEFUL,WOMEN,LGBTI,RACISM,CLASS,POLITICS,DISABLED,APPEARANCE,CRIMINAL
1,1,0,0,0,0,0,1,0,0
2,1,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,1,0
19,1,0,1,0,0,0,0,0,0
20,1,0,0,0,1,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,1,0,0,0
25,1,0,0,0,0,0,0,1,0
26,1,0,0,0,0,0,1,0,0
27,1,0,0,0,0,0,0,1,0
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,1,0
31,1,0,0,0,0,1,0,0,0
32,1,0,0,0,0,0,0,1,0
33,1,0,0,0,0,0,0,1,0
34,0,0,0,0,0,0,0,0,0
35,1,0,0,0,1,0,0,0,0
36,1,0,0,0,1,0,0,0,0
37,1,0,0,0,0,1,0,0,0
38,1,0,0,0,0,0,0,1,0
39,1,0,0,0,1,0,0,0,0
40,1,0,0,0,0,0,0,1,0
41,1,0,0,1,0,0,0,0,0
42,1,0,0,0,1,0,0,0,0
43,1,0,0,0,0,0,0,0,1
44,1,0,0,0,0,0,0,0,1
45,1,0,0,0,0,1,0,0,0
46,0,0,0,0,0,0,0,0,0
47,1,0,0,0,0,0,0,1,0
48,1,0,0,0,0,0,0,0,1
49,1,0,0,0,1,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,1,0,0,0,0,1,0,0,0
52,0,0,0,0,0,0,0,0,0
53,1,0,0,0,0,1,0,0,0
54,1,0,0,0,0,0,0,0,1
55,1,0,0,0,0,1,0,0,0
56,0,0,0,0,0,0,0,0,0
57,1,0,0,0,0,1,0,0,0
58,1,0,0,0,0,1,0,0,0
59,1,0,0,0,0,0,0,0,1
60,1,0,0,0,0,0,0,1,0
61,1,0,0,0,0,1,0,0,0
62,1,0,0,0,0,0,0,0,1
63,1,0,0,0,0,0,0,1,0
64,1,0,0,1,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,0,0,1
67,1,0,0,1,0,0,0,0,0
68,1,0,0,0,0,1,0,1,0
69,1,0,0,0,0,1,0,1,0
70,1,0,0,0,0,0,0,1,0
71,0,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,0,1
73,0,0,0,0,0,0,0,0,0
74,1,0,0,0,0,1,0,0,0
75,1,0,0,0,0,1,0,0,0
76,1,0,0,0,0,0,0,0,1
77,1,0,0,0,0,0,0,0,1
78,1,1,0,0,0,0,0,0,0
79,1,0,1,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
81,1,0,0,0,0,1,0,0,0
82,1,0,0,0,0,0,0,0,1
83,1,0,1,0,0,0,0,0,0
84,1,0,0,0,0,1,0,0,0
85,1,0,0,0,0,1,0,0,0
86,1,0,0,0,1,0,0,0,0
87,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0
90,1,0,0,1,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0
92,1,0,1,0,0,0,0,0,0
93,1,0,1,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0
96,1,0,0,0,0,1,0,0,0
97,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0
100,1,1,0,0,0,0,0,0,0
